replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,21,0.8775510204081632,0.7799886621315193,0.9569160997732427,0.9047619047619048,9.059906005859375e-06,0.03190436843960058,0.037439076673416866,6743
1,Loop/1153,outlier,20,0.485,0.4225,0.5525,0.4,0.7147016525268555,0.048992571979761125,0.04880524035543203,6743
1,Loop/727,outlier,18,0.5555555555555556,0.49691358024691357,0.6419753086419753,0.7777777777777778,0.00693511962890625,0.07511674095359114,0.07695776824322012,6743
1,Loop/19,outlier,18,0.5555555555555556,0.5216049382716049,0.6265432098765432,0.8333333333333334,5.340576171875e-05,0.1584214526746008,0.16568924486637115,6743
1,Loop/256,outlier,12,0.5625,0.5,0.6736111111111112,0.8333333333333334,0.008056640625,0.06719022026906411,0.06905336678028107,6743
1,Loop/467,outlier,16,0.53515625,0.4609375,0.62890625,0.625,0.096405029296875,0.04980439622886479,0.050541472155600786,6743
1,DCLP3/91,outlier,8,0.53125,0.375,0.71875,0.625,0.125,0.14079819526523352,0.14479297678917646,6743
1,DCLP5/52,outlier,7,0.5714285714285714,0.46938775510204084,0.7551020408163265,0.8571428571428571,0.109375,0.1678157980952944,0.17069788383586065,6743
1,Loop/263,outlier,9,0.5185185185185185,0.38271604938271603,0.6669753086419736,0.6666666666666666,0.125,0.14812048690186608,0.15206121487749946,6743
1,Loop/100,outlier,11,0.5619834710743802,0.5206611570247934,0.6776859504132231,0.9090909090909091,0.01220703125,0.17087541046467694,0.17565957456827164,6743
1,Loop/1067,control,21,0.4965986394557823,0.4376417233560091,0.5510204081632653,0.47619047619047616,0.8037080764770508,0.07652178743765467,0.07565146329857055,6743
1,Loop/435,control,19,0.4930747922437673,0.4376731301939058,0.556786703601108,0.631578947368421,0.24498367309570312,0.06960478640700642,0.06993274547551807,6743
1,Loop/1071,control,19,0.49584487534626037,0.44598337950138506,0.5429362880886427,0.47368421052631576,0.6309547424316406,0.11132206473695605,0.11134867428949005,6743
1,DCLP3/22,control,9,0.5185185185185185,0.41975308641975306,0.6296296296296297,0.6666666666666666,0.5,0.09288733535342747,0.09289401107364231,6743
1,BrisT1D/P07,control,8,0.484375,0.359375,0.625,0.5,0.47265625,0.14476448856294155,0.14496114198118448,6743
1,BrisT1D/P15,control,10,0.54,0.5,0.6302499999999986,0.9,0.001953125,0.11671364158391953,0.1177434042096138,6743
1,BrisT1D/P04,control,9,0.49382716049382713,0.37037037037037035,0.6049382716049383,0.3333333333333333,0.91796875,0.10777053154177135,0.10721297313769658,6743
1,BrisT1D/P03,control,5,0.44,0.16,0.68,0.4,0.78125,0.11661264598369599,0.11577934473752975,6743
1,DCLP3/118,control,7,0.42857142857142855,0.24489795918367346,0.5306122448979592,0.14285714285714285,0.984375,0.08055364872728075,0.07803522156817573,6743
1,BrisT1D/P10,control,6,0.4722222222222222,0.2777777777777778,0.6666666666666666,0.3333333333333333,0.953125,0.06879746789733569,0.06833381143709023,6743
