replicate,target,group,n_windows,auc,auc_lo,auc_hi,paired_frac,wilcoxon_p,d_in_mean,d_out_mean,k_matched
1,Loop/1142,outlier,34,1.0,1.0,1.0,1.0,5.820766091346741e-11,0.04570183311315144,0.07471088144709082,7001
1,Loop/1153,outlier,28,0.5663265306122449,0.4821109693877551,0.6619897959183674,0.6428571428571429,0.020106766372919083,0.07883141615561076,0.08008101768791676,7001
1,Loop/727,outlier,22,0.5888429752066116,0.5206611570247934,0.6776859504132231,0.7272727272727273,0.010429143905639648,0.11527053266763687,0.11823382330211726,7001
1,Loop/19,outlier,15,0.49333333333333335,0.4222222222222222,0.5555555555555556,0.4,0.5548095703125,0.23184085885683695,0.23034318884213764,7001
1,Loop/256,outlier,12,0.4930555555555556,0.3888888888888889,0.5902777777777778,0.5,0.68896484375,0.11629338189959526,0.11585607503851254,7001
1,Loop/467,outlier,11,0.6115702479338843,0.48760330578512395,0.7603305785123967,0.7272727272727273,0.08740234375,0.08024068921804428,0.08233898471702229,7001
1,DCLP3/91,outlier,10,0.48,0.33975000000000005,0.61,0.3,0.7841796875,0.2584522873163223,0.25727185159921645,7001
1,DCLP5/52,outlier,9,0.5185185185185185,0.3950617283950617,0.6666666666666666,0.5555555555555556,0.248046875,0.30132493045594955,0.3033402893278334,7001
1,Loop/263,outlier,7,0.5918367346938775,0.3469387755102041,0.8571428571428571,0.42857142857142855,0.53125,0.2722381183079311,0.27251237630844116,7001
1,Loop/100,outlier,5,0.6,0.6,0.84,1.0,0.03125,0.26299057602882386,0.26812111735343935,7001
1,Loop/1067,control,34,0.4801038062283737,0.42644896193771625,0.5294333910034601,0.47058823529411764,0.8152374442433938,0.1412594855269965,0.13983145706793842,7001
1,Loop/435,control,28,0.5051020408163265,0.46170280612244896,0.5497767857142856,0.5357142857142857,0.44208788126707077,0.11360890631164823,0.11382267570921353,7001
1,Loop/1071,control,22,0.512396694214876,0.4628099173553719,0.5702479338842975,0.5909090909090909,0.30507588386535645,0.14940196309577336,0.15023750913414088,7001
1,DCLP3/22,control,15,0.47555555555555556,0.391,0.5422222222222223,0.4666666666666667,0.70025634765625,0.1539306213458379,0.15348210334777831,7001
1,BrisT1D/P07,control,12,0.4166666666666667,0.2569444444444444,0.5555555555555556,0.25,0.953857421875,0.23104933897654215,0.22424203405777612,7001
1,BrisT1D/P15,control,11,0.5041322314049587,0.35537190082644626,0.6448347107438005,0.45454545454545453,0.61767578125,0.18678727475079623,0.18646745112809268,7001
1,BrisT1D/P04,control,10,0.53,0.39,0.65,0.5,0.384765625,0.14164478927850724,0.14287338256835938,7001
1,BrisT1D/P03,control,9,0.5061728395061729,0.38271604938271603,0.6790123456790124,0.5555555555555556,0.5,0.18702837493684557,0.18701264262199402,7001
1,DCLP3/118,control,7,0.5510204081632653,0.3668367346938776,0.7959183673469388,0.7142857142857143,0.1875,0.1249032946569579,0.12702338716813497,7001
1,BrisT1D/P10,control,5,0.4,0.16,0.64,0.2,0.78125,0.1203213632106781,0.11912386566400528,7001
